% interestacl94.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword_1 String
@attribute nextword_1 String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag_1 String
@attribute nexttag_1 String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'further','declines','in','rates','X','NULL','JJ','NNS','IN','NNS','X','NULL','interest6'
'to','indicate','declining','rates','because','they','TO','VB','VBG','NNS','IN','PP','interest6'
'rises','in','shortXterm','rates','X','NULL','NNS','IN','JJ','NNS','X','NULL','interest6'
'a','83X4','%','in','this','energyXservices','DT','AB','NN','IN','DT','JJ','interest5'
'holding','company','with','in','the','mechanical','VBG','NN','IN','IN','DT','JJ','interest5'
'refunded','X','plus','X','NULL','NULL','VBN','X','CC','X','NULL','NULL','interest6'
'curry','set','the','rate','on','the','NP','VBD','DT','NN','IN','DT','interest6'
'country','Xs','own','X','prompted','the','NN','POS','JJ','X','VBD','DT','interest4'
'of','principal','and','is','the','only','IN','NN','CC','VBZ','DT','JJ','interest6'
'to','increase','its','to','70','%','TO','VB','PPX','TO','AB','NN','interest5'
'show','the','strong','of','japanese','investors','VBP','DT','JJ','IN','JJ','NNS','interest1'
'retired','early','if','rates','decline','X','VBN','RB','IN','NNS','VBP','X','interest6'
'the','drop','in','rates','since','the','DT','NN','IN','NNS','IN','DT','interest6'
'the','drop','in','rates','eventually','will','DT','NN','IN','NNS','RB','MD','interest6'
'par','plus','accrued','to','the','date','NN','CC','VBN','TO','DT','NN','interest6'
'dramatic','fluctuation','in','rates','X','the','JJ','NN','IN','NNS','X','DT','interest6'
'by','growing','international','in','japanese','behavior','IN','JJ','JJ','IN','JJ','NN','interest1'
'of','lower','uXsX','rates','has','spurred','IN','JJR','NP','NNS','VBZ','VBN','interest6'
'again','showed','little','in','further','evidence','RB','VBD','JJ','IN','JJ','NN','interest1'
'to','cut','shortXterm','rates','X','but','TO','VB','JJ','NNS','X','CC','interest6'
'key','federal','funds','rate','by','about','JJ','JJ','NNS','NN','IN','RB','interest6'
'resulting','in','higher','costs','to','the','VBG','IN','JJR','NNS','TO','DT','interest6'
'those','japanese','business','X','in','the','DT','JJ','NN','X','IN','DT','interest3'
'NULL','heightened','japanese','in','american','small','NULL','JJ','JJ','IN','JJ','JJ','interest1'
'X','bought','controlling','in','the','glass','X','VBD','VBG','IN','DT','NN','interest5'
'have','a','great','in','making','investments','VBP','DT','JJ','IN','VBG','NNS','interest1'
'holds','35','%','or','more','and','VBZ','AB','NN','CC','JJR','CC','interest5'
'primarily','with','the','rates','they','pay','RB','IN','DT','NNS','PP','VBP','interest6'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','IN','VBP','interest6'
'1X64','million','semiannual','payment','due','yesterday','AB','AB','JJ','NN','JJ','NN','interest6'
'a','variety','of','rate','swap','transactions','DT','NN','IN','NN','NN','NNS','interest6'
'sterling','market','in','rate','swap','dealings','NN','NN','IN','NN','NN','NNS','interest6'
'engage','in','an','rate','swap','X','VBP','IN','DT','NN','NN','X','interest6'
'to','make','fixedXrate','payments','on','debt','TO','VB','JJ','NNS','IN','NN','interest6'
'NULL','NULL','as','rates','rose','X','NULL','NULL','IN','NNS','VBD','X','interest6'
'X','noting','growing','in','use','of','X','VBG','VBG','IN','NN','IN','interest1'
'them','dealing','with','rates','and','the','PP','VBG','IN','NNS','CC','DT','interest6'
'bonds','X','the','on','which','is','NNS','X','DT','IN','WDT','VBZ','interest6'
'fielded','every','important','on','their','team','VBD','DT','JJ','IN','PPX','NN','interest4'
'protecting','the','national','in','encouraging','new','VBG','DT','JJ','IN','VBG','JJ','interest4'
'of','uncertainty','regarding','rates','and','the','IN','NN','VBG','NNS','CC','DT','interest6'
'currency','X','investor','was','directed','toward','NN','X','NN','VBD','VBN','IN','interest1'
'said','most','investor','was','focused','on','VBD','JJS','NN','VBD','VBN','IN','interest1'
'price','changes','and','income','X','NULL','NN','NNS','CC','NN','X','NULL','interest6'
'clothing','company','Xs','expense','exceeds','operating','NN','NN','POS','NN','VBZ','NN','interest6'
'could','signal','his','in','helping','revive','MD','VB','PPX','IN','VBG','VB','interest1'
'to','20','%','in','the','chain','TO','AB','NN','IN','DT','NN','interest5'
'to','pursue','unspecified','X','a','move','TO','VB','JJ','X','DT','NN','interest3'
'company','also','cited','costs','and','amortization','NN','RB','VBD','NNS','CC','NN','interest6'
'a','decline','in','rates','X','NULL','DT','NN','IN','NNS','X','NULL','interest6'
'the','mcalpine','family','X','for','X','DT','NP','NN','X','IN','X','interest5'
'dramatic','fluctuation','in','rates','X','the','JJ','NN','IN','NNS','X','DT','interest6'
'to','cut','shortXterm','rates','due','to','TO','VB','JJ','NNS','JJ','TO','interest6'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'jaguar','Xs','best','X','for','the','NP','POS','JJS','X','IN','DT','interest4'
'announcement','of','its','in','a','minority','NN','IN','PPX','IN','DT','NN','interest1'
'buffeted','by','high','rates','and','a','VBN','IN','JJ','NNS','CC','DT','interest6'
'to','pursue','other','X','X','mrX','TO','VB','JJ','X','X','NP','interest3'
'to','attract','investor','and','remained','sluggish','TO','VB','NN','CC','VBD','JJ','interest1'
'said','X','domestic','rates','are','likely','VBD','X','JJ','NNS','VBP','JJ','interest6'
'direction','of','shortXterm','rates','at','the','NN','IN','JJ','NNS','IN','DT','interest6'
'but','when','market','rates','move','up','CC','WRB','NN','NNS','VBP','RB','interest6'
'which','also','has','in','packaging','X','WDT','RB','VBZ','IN','NN','X','interest5'
'low','levels','of','coverage','and','internal','JJ','NNS','IN','NN','CC','JJ','interest6'
'call','for','lower','rates','X','60','VB','IN','JJR','NNS','X','AB','interest6'
'inflation','and','bring','rates','down','X','NN','CC','VB','NNS','RP','X','interest6'
'NULL','the','average','rate','rose','to','NULL','DT','JJ','NN','VBD','TO','interest6'
'initially','showed','little','X','and','he','RB','VBD','JJ','X','CC','PP','interest1'
'took','a','quick','in','mrX','stoll','VBD','DT','JJ','IN','NP','NP','interest1'
'NULL','but','higher','rates','paid','on','NULL','CC','JJR','NNS','VBN','IN','interest6'
'of','other','timber','X','would','result','IN','JJ','NN','X','MD','VB','interest5'
'banks','it','owed','to','in','october','NNS','PP','VBD','TO','IN','NP','interest6'
'in','healthvest','and','in','certain','facilities','IN','NP','CC','IN','JJ','NNS','interest5'
'secret','and','illegal','in','a','beer','JJ','CC','JJ','IN','DT','NN','interest5'
'plotted','hidden','ownership','in','real','estate','VBD','JJ','NN','IN','JJ','NN','interest5'
'X','lowered','its','rate','and','accepted','X','VBD','PPX','NN','CC','VBD','interest6'
'complain','that','the','he','was','paying','VB','IN','DT','PP','VBD','VBG','interest6'
'7X0826','%','true','cost','X','NULL','AB','NN','JJ','NN','X','NULL','interest6'
'7X0808','%','true','cost','X','NULL','AB','NN','JJ','NN','X','NULL','interest6'
'NULL','NULL','NULL','on','the','bonds','NULL','NULL','NULL','IN','DT','NNS','interest6'
'big','downturn','in','rates','a','few','JJ','NN','IN','NNS','DT','JJ','interest6'
'drum','up','investor','in','mortgage','securities','VB','RP','NN','IN','NN','NNS','interest1'
'NULL','NULL','X','is','a','great','NULL','NULL','X','VBZ','DT','JJ','interest1'
'to','drive','down','rates','on','mortgage','TO','VB','RP','NNS','IN','NN','interest6'
