% interestacl94stopwords.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword String
@attribute nextword String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag String
@attribute nexttag String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'managers','expect','declines','rates','X','NULL','NNS','VBP','NNS','NNS','X','NULL','interest6'
'thought','indicate','declining','rates','permit','portfolio','VBN','VB','VBG','NNS','VBP','NN','interest6'
'recent','rises','shortXterm','rates','X','NULL','JJ','NNS','JJ','NNS','X','NULL','interest6'
'holds','83X4','%','energyXservices','company','X','VBZ','AB','NN','JJ','NN','X','interest5'
'stateXowned','holding','company','mechanical','engineering','industry','JJ','VBG','NN','JJ','NN','NN','interest5'
'refunded','X','plus','X','NULL','NULL','VBN','X','CC','X','NULL','NULL','interest6'
'judge','curry','set','rate','refund','9','NP','NP','VBD','NN','NN','AB','interest6'
'property','country','Xs','X','prompted','improvements','NN','NN','POS','X','VBD','NNS','interest4'
'significant','reduction','principal','way','debt','problem','JJ','NN','NN','NN','NN','NN','interest6'
'faulding','right','increase','70','%','moleculon','NP','NN','VB','AB','NN','NP','interest5'
'purchases','show','strong','japanese','investors','uXsX','NNS','VBP','JJ','JJ','NNS','NP','interest1'
'securities','retired','early','rates','decline','X','NNS','VBN','RB','NNS','VBP','X','interest6'
'time','X','drop','rates','since','spring','NN','X','NN','NNS','IN','NN','interest6'
'X','predicted','drop','rates','eventually','boost','X','VBD','NN','NNS','RB','VB','interest6'
'par','plus','accrued','date','purchase','X','NN','CC','VBN','NN','NN','X','interest6'
'assuming','dramatic','fluctuation','rates','X','company','VBG','JJ','NN','NNS','X','NN','interest6'
'fueled','growing','international','japanese','behavior','X','VBN','JJ','JJ','JJ','NN','X','interest1'
'prospect','lower','uXsX','rates','spurred','dollar','NN','JJR','NP','NNS','VBN','NN','interest6'
'market','showed','little','evidence','slowing','uXsX','NN','VBD','JJ','NN','VBG','NP','interest1'
'reserve','cut','shortXterm','rates','X','nXt','NP','VB','JJ','NNS','X','RB','interest6'
'key','federal','funds','rate','0X25','percentage','JJ','JJ','NNS','NN','AB','NN','interest6'
'possibly','resulting','higher','costs','taxpayer','X','RB','VBG','JJR','NNS','NN','X','interest6'
'important','japanese','business','X','uXs','X','JJ','JJ','NN','X','NP','X','interest3'
'NULL','heightened','japanese','american','small','business','NULL','JJ','JJ','JJ','JJ','NN','interest1'
'X','bought','controlling','glass','company','joint','X','VBD','VBG','NN','NN','JJ','interest5'
'X','X','great','making','investments','X','X','X','JJ','VBG','NNS','X','interest1'
'holds','35','%','trading','company','hopes','VBZ','AB','NN','NN','NN','VBZ','interest5'
'competed','customers','primarily','rates','pay','deposits','VBN','NNS','RB','NNS','VBP','NNS','interest6'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'1X64','million','semiannual','payment','due','yesterday','AB','AB','JJ','NN','JJ','NN','interest6'
'declared','illegal','variety','rate','swap','transactions','VBD','JJ','NN','NN','NN','NNS','interest6'
'%','sterling','market','rate','swap','dealings','NN','NN','NN','NN','NN','NNS','interest6'
'two','parties','engage','rate','swap','X','AB','NNS','VBP','NN','NN','X','interest6'
'obligated','make','fixedXrate','payments','debt','swaps','VBD','VB','JJ','NNS','NN','NNS','interest6'
'NULL','NULL','NULL','rates','rose','X','NULL','NULL','NULL','NNS','VBD','X','interest6'
'X','noting','growing','use','900','service','X','VBG','VBG','NN','AB','NN','interest1'
'rather','see','dealing','rates','deficit','X','RB','VB','VBG','NNS','NN','X','interest6'
'series','bonds','X','subject','federal','alternative','NN','NNS','X','JJ','JJ','NN','interest6'
'fielded','every','important','team','X','popular','VBD','DT','JJ','NN','X','JJ','interest4'
'victims','protecting','national','encouraging','new','drugs','NNS','VBG','JJ','VBG','JJ','NNS','interest4'
'sidelines','uncertainty','regarding','rates','dollar','X','NNS','NN','VBG','NNS','NN','X','interest6'
'currency','X','investor','directed','toward','oil','NN','X','NN','VBN','IN','NN','interest1'
'dealers','said','investor','focused','defensive','blueXchip','NNS','VBD','NN','VBN','JJ','JJ','interest1'
'measures','price','changes','income','X','NULL','VBZ','NN','NNS','NN','X','NULL','interest6'
'clothing','company','Xs','expense','exceeds','operating','NN','NN','POS','NN','VBZ','NN','interest6'
'incX','could','signal','helping','revive','failed','NP','MD','VB','VBG','VB','VBN','interest1'
'%','20','%','chain','january','X','NN','AB','NN','NN','NP','X','interest5'
'manager','pursue','unspecified','X','move','news','NN','VB','JJ','X','NN','NN','interest3'
'company','also','cited','costs','amortization','goodwill','NN','RB','VBD','NNS','NN','NN','interest6'
'point','toward','decline','rates','X','NULL','VB','IN','NN','NNS','X','NULL','interest6'
'stock','mcalpine','family','X','X','1','NN','NP','NN','X','X','AB','interest5'
'assuming','dramatic','fluctuation','rates','X','association','VBG','JJ','NN','NNS','X','NN','interest6'
'pressure','cut','shortXterm','rates','due','apparent','NN','VB','JJ','NNS','JJ','JJ','interest6'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'jaguar','Xs','best','X','company','Xs','NP','POS','JJS','X','NN','POS','interest4'
'septX','19','announcement','minority','stake','X','NP','AB','NN','NN','NN','X','interest1'
'already','buffeted','high','rates','slowing','economy','RB','VBN','JJ','NNS','VBG','NN','interest6'
'X','going','pursue','X','X','mrX','X','VBG','VB','X','X','NP','interest3'
'failed','attract','investor','remained','sluggish','X','VBD','VB','NN','VBD','JJ','X','interest1'
'said','X','domestic','rates','likely','stay','VBD','X','JJ','NNS','JJ','VB','interest6'
'counter','direction','shortXterm','rates','treasury','bill','RB','NN','JJ','NNS','NP','NN','interest6'
'NULL','NULL','market','rates','move','rapidly','NULL','NULL','NN','NNS','VBP','RB','interest6'
'neave','X','also','packaging','X','beer','NP','X','RB','NN','X','NN','interest5'
'Xs','low','levels','coverage','internal','cash','POS','JJ','NNS','NN','JJ','NN','interest6'
'quick','call','lower','rates','X','60','JJ','VB','JJR','NNS','X','AB','interest6'
'less','inflation','bring','rates','X','NULL','RBR','NN','VB','NNS','X','NULL','interest6'
'NULL','NULL','average','rate','rose','8X3875','NULL','NULL','JJ','NN','VBD','AB','interest6'
'initially','showed','little','X','impression','federal','RB','VBD','JJ','X','NN','JJ','interest1'
'X','took','quick','mrX','stoll','Xs','X','VBD','JJ','NP','NP','POS','interest1'
'NULL','NULL','higher','rates','paid','offXbudget','NULL','NULL','JJR','NNS','VBN','JJ','interest6'
'includes','swap','timber','X','would','result','VBZ','NN','NN','X','MD','VB','interest5'
'three','banks','owed','october','negotiations','third','AB','NNS','VBD','NP','NNS','JJ','interest6'
'%','stake','healthvest','certain','facilities','X','NN','NN','NP','JJ','NNS','X','interest5'
'owned','secret','illegal','beer','distributorship','X','VBD','JJ','JJ','NN','NN','X','interest5'
'plotted','hidden','ownership','real','estate','presented','VBD','JJ','NN','JJ','NN','VBD','interest5'
'loan','X','lowered','rate','accepted','tradeXin','NN','X','VBD','NN','VBD','NN','interest6'
'X','wrote','complain','paying','unsecured','X','X','VBD','VB','VBG','JJ','X','interest6'
'7X0826','%','true','cost','X','NULL','AB','NN','JJ','NN','X','NULL','interest6'
'7X0808','%','true','cost','X','NULL','AB','NN','JJ','NN','X','NULL','interest6'
'NULL','NULL','NULL','bonds','treated','preference','NULL','NULL','NULL','NNS','VBN','NN','interest6'
'burned','big','downturn','rates','years','back','VBN','JJ','NN','NNS','NNS','RB','interest6'
'explain','drum','investor','mortgage','securities','X','VB','VB','NN','NN','NNS','X','interest1'
'NULL','NULL','X','great','deal','higher','NULL','NULL','X','JJ','NN','JJR','interest1'
'could','help','drive','rates','mortgage','securities','MD','VB','VB','NNS','NN','NNS','interest6'
'mortgage','securities','pay','monthly','X','since','NN','NNS','VBP','RB','X','IN','interest6'
'position','pursue','longXterm','corporation','X','NULL','NN','VB','JJ','NN','X','NULL','interest4'
'enfield','holding','company','manufacturing','concerns','X','NP','VBG','NN','VBG','NNS','X','interest5'
'ends','despite','growing','environment','X','uXsX','NNS','IN','VBG','NN','X','NP','interest1'
'nXt','shown','much','refillable','packages','household','RB','VBN','JJ','JJ','NNS','NN','interest1'
'NULL','NULL','pay','115','months','X','NULL','NULL','VBP','AB','NNS','X','interest6'
'federal','reserve','eases','rates','X','NULL','NP','NP','VBZ','NNS','X','NULL','interest6'
'would','pressured','narrowing','rate','differentials','uXsX','MD','VBN','NN','NN','NNS','NP','interest6'
'reserve','relaxed','shortXterm','rates','X','knocking','NP','VBD','JJ','NNS','X','VBG','interest6'
'X','lower','uXsX','rates','signs','slowing','X','JJR','NP','NNS','NNS','VBG','interest6'
'whose','value','rises','rates','decline','X','WPX','NN','VBZ','NNS','VBP','X','interest6'
'said','expects','uXsX','rates','decline','X','VBD','VBZ','NP','NNS','VB','X','interest6'
'NULL','west','german','rates','X','said','NULL','JJ','JJ','NNS','X','VBD','interest6'
'downward','trend','uXsX','rates','X','shaky','JJ','NN','NP','NNS','X','JJ','interest6'
'banking','corpX','Xs','rate','options','group','NP','NP','POS','NN','NNS','NN','interest6'
'X','including','swaps','rate','options','X','X','VBG','NNS','NN','NNS','X','interest6'
'different','X','problems','rate','options','unit','JJ','X','NNS','NN','NNS','NN','interest6'
'agreements','failed','envision','rate','environment','shortXterm','NNS','VBD','VB','NN','NN','JJ','interest6'
'NULL','incidents','involving','rate','options','forwardXrate','NULL','NNS','VBG','NN','NNS','JJ','interest6'
'NULL','NULL','NULL','rate','options','contract','NULL','NULL','NULL','NN','NNS','NN','interest6'
'X','chemical','Xs','rate','options','group','X','NP','POS','NN','NNS','NN','interest6'
'X','chemical','Xs','rate','options','group','X','NP','POS','NN','NNS','NN','interest6'
'seidman','aflXcio','finding','unlikely','quarter','X','NP','NP','VBG','JJ','NN','X','interest1'
'cynical','new','corporate','healthXcare','overhaul','X','JJ','JJ','JJ','NN','NN','X','interest1'
'federal','reserve','eases','rates','soon','stimulate','NP','NP','VBZ','NNS','RB','VB','interest6'
'X','payments','minority','X','surged','188','X','NNS','NN','X','VBD','AB','interest5'
'X','payments','minority','X','revenue','50','X','NNS','NN','X','NN','AB','interest5'
